Data,Open,High,Low,Close,Volume,OI
2015-04-02 00:00:00,9.40,11.09,9.40,10.98,504528,3339
2015-04-06 00:00:00,11.02,11.60,10.94,11.20,342184,2023
2015-04-07 00:00:00,11.20,11.31,10.36,10.47,396272,2247
2015-04-08 00:00:00,10.72,11.09,10.61,10.61,463649,3392
2015-04-09 00:00:00,10.54,11.27,10.54,10.98,275873,3115
2015-04-10 00:00:00,10.91,11.49,10.91,11.31,453423,4529
2015-04-13 00:00:00,11.31,11.38,11.05,11.31,419867,3068
2015-04-14 00:00:00,11.45,11.45,11.09,11.34,236964,2585
2015-04-15 00:00:00,11.34,11.45,11.20,11.42,86844,923
2015-04-16 00:00:00,11.49,11.53,11.16,11.16,271052,2281
2015-04-17 00:00:00,11.20,11.20,10.65,10.94,270919,1769
2015-04-20 00:00:00,10.98,11.09,10.43,10.69,230600,2032
2015-04-22 00:00:00,10.72,10.91,10.28,10.80,356858,2512
2015-04-23 00:00:00,10.72,10.80,9.73,9.84,629961,2657
2015-04-24 00:00:00,9.92,10.03,9.70,9.88,252757,1733
2015-04-27 00:00:00,9.88,9.92,9.15,9.44,234488,1489
2015-04-28 00:00:00,9.66,9.66,9.19,9.22,203329,1171
2015-04-29 00:00:00,9.19,9.26,7.98,8.20,664901,3532
2015-04-30 00:00:00,8.27,8.78,8.23,8.78,591000,1752
2015-05-04 00:00:00,9.09,9.12,8.86,8.97,349082,2749
2015-05-05 00:00:00,8.94,9.27,8.90,9.09,249454,1638
2015-05-06 00:00:00,9.05,9.27,8.34,8.41,499308,3047
2015-05-07 00:00:00,8.45,8.64,8.15,8.26,315154,1542
2015-05-08 00:00:00,8.41,8.41,7.96,8.04,410547,2203
2015-05-11 00:00:00,8.04,8.26,7.89,8.07,354355,3040
2015-05-12 00:00:00,8.07,8.30,7.89,8.07,189108,1452
2015-05-13 00:00:00,8.07,8.15,7.92,8.00,140267,1237
2015-05-14 00:00:00,8.07,8.49,7.92,8.45,543889,2625
2015-05-15 00:00:00,8.49,9.01,8.49,8.79,1131373,2122
2015-05-18 00:00:00,8.90,9.09,8.79,8.90,476645,2347
