Date,Open,High,Low,Close,Volume,Adj Close
2009-09-21,37.76,39.25,37.32,37.98,6076000,34.13
2009-09-14,35.81,38.64,35.79,38.07,6942900,34.21
2009-09-08,36.16,36.86,35.80,36.41,6588800,32.72
2009-08-31,33.77,35.55,32.90,35.40,9395900,31.81
2009-08-24,37.31,37.48,34.29,34.45,7090300,30.96
2009-08-17,33.93,36.97,33.67,36.80,5468100,33.07
2009-08-10,34.95,35.83,33.89,34.95,6049900,31.41
2009-08-03,34.77,35.92,34.49,35.22,6664100,31.65
2009-07-27,34.51,34.65,32.33,33.70,6994100,30.28
2009-07-20,33.62,34.69,33.03,34.23,6408600,30.76
2009-07-13,29.71,32.80,28.79,32.70,7246700,29.39
2009-07-06,30.51,30.72,28.21,29.59,7806200,26.59
2009-06-29,33.63,34.27,31.55,31.55,8023600,28.04
2009-06-22,31.61,33.58,30.25,33.38,8042200,29.67
2009-06-15,34.85,34.85,31.99,32.42,8100000,28.82
2009-06-08,34.14,37.02,33.72,35.35,7745400,31.42
2009-06-01,35.98,36.51,33.33,34.85,10256300,30.98
2009-05-26,32.03,35.85,31.86,34.97,11633300,31.08
2009-05-18,30.19,33.38,30.18,32.41,8257600,28.81
2009-05-11,31.28,32.58,29.59,29.75,8123000,26.44
2009-05-04,28.24,31.92,28.18,31.68,11049800,28.16
2009-04-27,26.28,28.65,25.40,28.08,6997000,24.96
2009-04-20,26.27,27.12,24.68,26.90,7115700,23.91
2009-04-13,27.90,28.75,26.89,26.91,7858300,23.92
2009-04-06,27.06,28.50,26.71,28.49,8259000,25.32
2009-03-30,24.86,27.90,24.26,27.71,8845600,24.37
2009-03-23,26.63,27.88,25.63,25.75,12118300,22.65
2009-03-16,24.26,26.82,23.41,25.75,13308100,22.65
2009-03-09,21.01,24.43,21.01,24.16,14318200,21.25
2009-03-02,21.58,22.75,19.86,21.62,14701200,19.02
2009-02-23,22.02,23.31,20.26,22.38,10621300,19.68
2009-02-17,23.60,23.60,21.07,21.71,13236100,19.09
2009-02-09,24.48,25.21,22.69,24.39,12187300,21.45
2009-02-02,20.93,24.42,20.82,24.26,9771700,21.34
2009-01-26,20.40,22.45,20.14,21.66,9545300,19.05
2009-01-20,20.36,21.17,19.30,20.49,10382900,18.02
2009-01-12,21.46,21.62,18.83,20.88,9395800,18.36
2009-01-05,20.97,23.55,20.97,22.32,9640200,19.63
2009-01-02,20.15,21.69,20.12,21.40,8279400,18.82
